State,Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths,Last update (ET),Check time (ET)
AK,321,"9,803",,46,36,,,,,161,9,4/20/2020 14:00,4/20/2020 14:17
AL,"5,025","40,875",,,641,,260,,157,,167,4/20/2020 0:00,4/20/2020 16:07
AR,"1,923","24,630",,93,291,,,24,57,749,42,4/20/2020 14:30,4/20/2020 16:17
AS,0,3,17,,,,,,,,,4/6/2020 0:00,4/20/2020 15:28
AZ,"5,064","49,436",,637,,285,,181,,1155,187,4/20/2020 0:00,4/20/2020 14:27
CA,"30,978","259,522",,"4,674",,"1,480",,,,,1208,4/19/2020 0:00,4/20/2020 16:16
CO,"9,730","36,465",,874,"1,813",,,,,,422,4/19/2020 16:06,4/20/2020 14:28
CT,"19,815","42,991",,"1,919",,,,,,,1331,4/20/2020 16:00,4/20/2020 16:21
DC,"2,927","11,186",,402,,120,,69,,630,105,4/19/2020 0:00,4/20/2020 16:17
DE,"2,745","13,725",,256,,,,,,495,72,4/20/2020 12:00,4/20/2020 14:34
FL,"26,660","239,565","1,104",,"4,010",,,,,,806,4/20/2020 9:28,4/20/2020 14:36
GA,"18,947","65,381",,,"3,550",,,,,,733,4/20/2020 11:27,4/20/2020 14:21
GU,133,991,,3,,2,,,,112,5,4/20/2020 6:50,4/20/2020 14:45
HI,580,"23,595",,,52,,,,,414,10,4/19/2020 18:00,4/20/2020 14:50
IA,"3,159","22,661",,214,,91,,58,,1235,79,4/19/2020 12:00,4/20/2020 14:31
ID,"1,672","15,773",,,151,,53,,,585,45,4/19/2020 19:00,4/20/2020 15:27
IL,"31,508","116,850",,"4,599",,"1,239",,757,,,1349,4/20/2020 0:00,4/20/2020 16:04
IN,"11,686","52,953",,,,669,,353,,,569,4/19/2020 23:59,4/20/2020 15:51
KS,"1,986","16,775",,,405,,,,,,100,4/20/2020 12:00,4/20/2020 14:41
KY,"2,960","29,612",,274,"1,059",155,534,,,1174,148,4/19/2020 17:00,4/20/2020 16:07
LA,"24,523","117,576",,"1,794",,,,332,,,1328,4/20/2020 13:00,4/20/2020 14:45
MA,"38,077","124,164",,"3,729",,987,,,,,1706,4/19/2020 16:00,4/20/2020 16:15
MD,"13,684","57,713",,,"3,014",,,,,917,516,4/20/2020 10:00,4/20/2020 14:58
ME,875,"14,076",,39,138,16,,9,,414,35,4/20/2020 11:15,4/20/2020 15:21
MI,"32,000","81,798",,"3,374",,"1,346",,1102,,3237,2468,4/20/2020 11:00,4/20/2020 16:01
MN,"2,470","44,380",,237,602,126,241,,,1202,143,4/20/2020 12:00,4/20/2020 15:14
MO,"5,807","50,206",,873,,,,,,,177,4/20/2020 15:00,4/20/2020 15:12
MP,14,51,,,,,,,,11,2,4/20/2020 0:00,4/20/2020 15:14
MS,"4,512","46,922",,548,819,146,,89,,,169,4/19/2020 19:00,4/20/2020 15:10
MT,433,"10,618",,19,57,,,,,243,10,4/20/2020 11:00,4/20/2020 15:01
NC,"6,764","72,720",,373,,,,,,,179,4/20/2020 10:35,4/20/2020 14:59
ND,627,"14,120",,17,53,,,,,189,13,4/20/2020 13:00,4/20/2020 14:58
NE,"1,474","14,206",,,,,,,,,28,4/19/2020 19:45,4/20/2020 14:53
NH,"1,392","12,726",298,79,198,,,,,521,41,4/19/2020 9:00,4/20/2020 14:48
NJ,"88,806","89,251",,"6,986",,"2,018",,1594,,,4377,4/20/2020 13:00,4/20/2020 14:52
NM,"1,845","35,197",,103,274,,,,,487,55,4/19/2020 18:46,4/20/2020 14:47
NV,"3,830","28,517",,,,,,,,,158,4/20/2020 10:00,4/20/2020 14:08
NY,"247,512","386,349",,"16,103","57,103","5,016",,,,23887,14347,4/20/2020 0:00,4/20/2020 15:24
OH,"12,516","77,920",,,"2,653",,798,,,,509,4/20/2020 14:00,4/20/2020 14:10
OK,"2,680","32,966",,307,541,136,,,,1614,143,4/20/2020 0:00,4/20/2020 14:15
OR,"1,956","38,089",,303,465,74,,35,,,75,4/20/2020 11:00,4/20/2020 16:12
PA,"33,232","129,720",,"2,701",,,,659,,,1204,4/20/2020 12:00,4/20/2020 14:20
PR,"1,252","8,486","1,895",,,,,,,,63,4/20/2020 6:30,4/20/2020 16:25
RI,"5,090","31,990",,272,331,62,,45,,267,155,4/20/2020 12:00,4/20/2020 14:29
SC,"4,377","36,103",,,776,,,,,2063,120,4/19/2020 15:30,4/20/2020 15:37
SD,"1,685","10,641",0,,87,,,,,709,7,4/19/2020 18:00,4/20/2020 14:21
TN,"7,238","93,451",,,730,,,,,3575,152,4/20/2020 15:00,4/20/2020 15:38
TX,"19,458","170,936",,"1,411",,,,,,5706,495,4/20/2020 12:45,4/20/2020 14:10
UT,"3,213","65,098",,,268,,,,,776,28,4/20/2020 15:00,4/20/2020 15:07
VA,"8,990","47,745",468,"1,296","1,500",396,,237,,1324,300,4/20/2020 0:00,4/20/2020 15:58
VI,53,554,18,,,,,,,48,3,4/19/2020 20:30,4/20/2020 14:37
VT,816,"12,165",,49,,,,,,15,38,4/20/2020 10:32,4/20/2020 14:40
WA,"11,790","126,852",,403,,122,,,,,634,4/19/2020 2:59,4/20/2020 14:43
WI,"4,499","46,603",237,406,"1,211",168,307,,,,230,4/20/2020 16:00,4/20/2020 15:25
WV,902,"21,253",,77,,37,,23,,290,24,4/20/2020 10:00,4/20/2020 14:21
WY,313,"7,073",,19,51,,,,,233,2,4/19/2020 0:00,4/20/2020 15:31
